ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day,company
,,,,,,,,,,,,20231201,温州龙湾伟明环保能源有限公司
,,,,,,,,,,,,20231201,哈尔滨市双琦环保资源利用有限公司
,,,,,,,,,,,,20231201,泰州京城环保产业有限公司
,,,,,,,,,,,,20231201,光大城乡再生能源（灌云）有限公司
,,,,,,,,,,,,20231201,玉环伟明环保能源有限公司
,,,,,,,,,,,,20231201,滁州皖能环保电力有限公司
,,,,,,,,,,,,20231201,上海维皓再生能源有限公司
,,,,,,,,,,,,20231201,清远市中田新能源有限公司
,,,,,,,,,,,,20231201,威海艾山环境再生能源有限公司
,,,,,,,,,,,,20231201,五莲新能环保发电有限公司
,,,,,,,,,,,,20231201,北京首钢生物质能源科技有限公司
,,,,,,,,,,,,20231201,成都三峰环保发电有限公司
,,,,,,,,,,,,20231201,赤峰市三峰环保能源有限公司
,,,,,,,,,,,,20231201,弋阳海创环境能源有限责任公司
,,,,,,,,,,,,20231201,泸州川能环保能源发电有限公司
,,,,,,,,,,,,20231201,扬州泰达环保有限公司
,,,,,,,,,,,,20231201,天津绿色动力再生能源有限公司
,,,,,,,,,,,,20231201,威海环文再生能源有限公司
,,,,,,,,,,,,20231201,黄山泰达环保有限公司
,,,,,,,,,,,,20231201,光大城乡再生能源（淮安）有限公司
,,,,,,,,,,,,20231201,朗坤环保能源（茂名）有限公司
,,,,,,,,,,,,20231201,光大环保能源（太康）有限公司
,,,,,,,,,,,,20231201,枣庄中电环保发电有限公司
,,,,,,,,,,,,20231201,湖州南太湖环保能源有限公司
,,,,,,,,,,,,20231201,新化县垃圾焚烧发电厂（光大环保）
,,,,,,,,,,,,20231201,庆阳圣元环保电力有限公司
,,,,,,,,,,,,20231201,临泉皖能环保电力有限公司
,,,,,,,,,,,,20231201,昆明海创环境工程有限责任公司
,,,,,,,,,,,,20231201,延吉天楹环保能源有限公司
,,,,,,,,,,,,20231201,福州红庙岭垃圾焚烧发电有限公司
,,,,,,,,,,,,20231201,北京环卫集团房山有限公司生物质能源科技分公司（垃圾焚烧厂）
,,,,,,,,,,,,20231201,苍南伟明环保能源有限公司
,,,,,,,,,,,,20231201,慈溪中科众茂环保热电有限公司
,,,,,,,,,,,,20231201,临沂恒泰新能源有限公司
,,,,,,,,,,,,20231201,北控环境再生能源沭阳有限公司
,,,,,,,,,,,,20231201,成武德润环保能源有限公司
,,,,,,,,,,,,20231201,湘乡现代环保能源有限公司
,,,,,,,,,,,,20231201,聊城康达垃圾处理有限公司
,,,,,,,,,,,,20231201,中节能（保定）环保能源有限公司
,,,,,,,,,,,,20231201,光大环保能源（平度）有限公司
,,,,,,,,,,,,20231201,瀚蓝（海阳）固废处置有限公司
,,,,,,,,,,,,20231201,无锡益多环保热电有限公司
,,,,,,,,,,,,20231201,高唐县国环再生资源有限公司
,,,,,,,,,,,,20231201,城发环保能源（西平）有限公司
,,,,,,,,,,,,20231201,浙江华川深能环保有限公司
,,,,,,,,,,,,20231201,东莞市新东元环保投资有限公司
,,,,,,,,,,,,20231201,光大环保能源（沛县）有限公司
,,,,,,,,,,,,20231201,磐石海创环保科技有限责任公司
,,,,,,,,,,,,20231201,连云港晨兴环保产业有限公司
,,,,,,,,,,,,20231201,信宜粤丰环保电力有限公司
,,,,,,,,,,,,20231201,中节能（通化）环保能源有限公司
